source,target,weight
29417304,91939936,3
29417304,92492429,3
29417304,415582246,4
29417304,40348363,1
29417304,76835612,1
29417304,300003963,1
29417304,528781542,1
29417304,32632075,1
29417304,3118706010,4
29417304,3032145463,6
29417304,482513852,1
29417304,352125063,2
29417304,328700569,1
29417304,33677698,1
29417304,89207192,1
29417304,80749580,1
29417304,606907410,2
29417304,518646310,7
29417304,419825395,1
29417304,33578917,1
29417304,68912745,1
29417304,585311688,5
29417304,52230962,7
29417304,541422291,1
29417304,92445954,1
29417304,3068537321,1
29417304,324376022,2
29417304,30312254,2
29417304,297721424,1
29417304,598873999,1
29417304,58375055,1
29417304,988425014,1
29417304,557606705,1
29417304,42959251,1
29417304,327006351,1
29417304,50748606,1
29417304,970516747,2
29417304,63106547,1
29417304,323294010,1
29417304,537151303,2
29417304,62965614,1
29417304,86911192,4
29417304,460577661,1
29417304,42510072,2
29417304,81260589,1
29417304,305908327,1
29417304,48389713,5
29417304,928958737,1
29417304,727132566,1
29417304,33459132,1
29417304,48308532,1
29417304,846631862,1
29417304,345761222,1
29417304,606523966,2
29417304,84991369,1
29417304,413599568,1
29417304,401171990,1
29417304,900990926,1
29417304,482497980,1
29417304,444105824,1
29417304,47769282,1
29417304,874824648,1
29417304,3218123231,1
29417304,39515245,2
29417304,301916050,1
29417304,37558626,1
29417304,325275379,1
29417304,328762103,1
29417304,38612253,1
29417304,472537040,2
29417304,747481796,1
29417304,87370174,1
29417304,372567126,1
29417304,53377882,1
29417304,33842430,2
29417304,44291590,2
29417304,8738922,1
29417304,82658160,1
29417304,74190899,1
29417304,584324219,1
29417304,588674330,1
29417304,378342147,1
29417304,3130332572,4
29417304,477960113,2
29417304,454415945,2
29417304,365460830,1
29417304,322219037,1
29417304,432158043,1
29417304,837051870,1
29417304,3217813955,1
29417304,620283948,1
29417304,387888068,1
29417304,40154387,2
29417304,348661583,1
29417304,961231092,1
29417304,805504698,1
29417304,388069843,1
29417304,3650361,1
29417304,485874019,1
29417304,92854933,1
29417304,331837011,1
29417304,84604106,2
29417304,508918599,1
29417304,880456062,1
29417304,53760784,6
29417304,34354366,1
29417304,525599719,1
29417304,478602651,1
29417304,96154067,2
29417304,30254174,2
29417304,33040946,2
29417304,866884686,1
29417304,43323170,1
29417304,8475532,1
29417304,78502767,3
29417304,961744346,1
29417304,543864556,1
29417304,389041611,1
29417304,500026079,1
29417304,47526602,1
29417304,617185779,1
29417304,3176812052,1
29417304,3013595854,1
29417304,3152384252,1
29417304,626170807,1
29417304,30806637,2
29417304,611058482,1
29417304,588306025,1
29417304,587754021,1
29417304,3171429092,3
29417304,448482381,2
29417304,316763148,1
29417304,63309718,1
29417304,911565654,1
29417304,3214687065,1
29417304,730141657,1
29417304,463878814,2
29417304,42295835,4
29417304,68190852,1
29417304,374898934,1
29417304,376306456,1
29417304,34839649,1
29417304,52975474,1
29417304,3027879814,1
29417304,494716961,1
29417304,462208579,2
29417304,2983935425,1
29417304,329925376,1
29417304,379194192,1
29417304,748092608,1
29417304,345627031,1
29417304,41997750,1
29417304,474468461,1
29417304,707417400,1
29417304,492710342,1
29417304,335972576,1
29417304,3022782904,1
29417304,49491988,1
29417304,50151086,1
29417304,995027707,1
29417304,49819686,1
29417304,631840094,1
29417304,29844621,1
29417304,30242631,2
29417304,929862127,1
29417304,375116380,1
29417304,319929702,1
29417304,46476819,1
29417304,57445987,3
29417304,981764612,2
29417304,41964836,1
29417304,3022623742,1
29417304,3145304479,1
29417304,75805906,2
29417304,417593220,1
29417304,31562965,1
29417304,890188956,2
29417304,983793061,3
29417304,41312290,1
29417304,879185479,1
29417304,396867524,2
29417304,79318657,1
29417304,803227008,7
29417304,480819245,1
29417304,326454163,1
29417304,48772945,1
29417304,51353167,1
29417304,509314341,1
29417304,319113197,1
29417304,891714356,1
29417304,35698331,1
29417304,476410624,1
29417304,595769410,1
29417304,32446371,1
29417304,70870481,1
29417304,95602411,1
29417304,66157203,1
29417304,58842911,1
29417304,3221952587,1
29417304,3108434820,1
29417304,2995212388,1
29417304,47600280,1
29417304,30856836,1
29417304,45777597,1
29417304,341729835,1
29417304,424612297,1
29417304,462305473,3
29417304,381702960,2
29417304,42342508,1
29417304,3168065509,2
29417304,7243782,1
29417304,387323421,1
29417304,33555786,1
